STATE,DISTRICT,YEAR_COUNT
Andhra Pradesh,Alluri Sitharama Raju,5
Andhra Pradesh,Anakapalli,5
Andhra Pradesh,Ananthapuramu,5
Andhra Pradesh,Annamayya,5
Andhra Pradesh,Bapatla,5
Andhra Pradesh,Eluru,5
Andhra Pradesh,Guntur,5
Andhra Pradesh,Krishna,5
Andhra Pradesh,Ntr,5
Andhra Pradesh,Palnadu,5
Andhra Pradesh,Prakasam,5
Andhra Pradesh,Sri Potti Sriramulu Nellore,5
Andhra Pradesh,Sri Sathya Sai,5
Andhra Pradesh,Tirupati,5
Andhra Pradesh,West Godavari,5
Andhra Pradesh,Y.S.R.,5
Arunachal Pradesh,Papum Pare,5
Assam,Barpeta,5
Assam,Darrang,5
Assam,Kamrup,5
Assam,Kamrup Metro,5
Assam,Lakhimpur,5
Assam,Marigaon,5
Assam,Nagaon,5
Assam,Nalbari,5
Assam,Tamulpur,5
Assam,Udalguri,5
Bihar,Arwal,5
Bihar,Aurangabad,5
Bihar,Begusarai,5
Bihar,Bhojpur,5
Bihar,Buxar,5
Bihar,Darbhanga,5
Bihar,Gaya,5
Bihar,Gopalganj,5
Bihar,Jehanabad,5
Bihar,Muzaffarpur,5
Bihar,Nalanda,5
Bihar,Nawada,5
Bihar,Pashchim Champaran,5
Bihar,Patna,5
Bihar,Purbi Champaran,5
Bihar,Samastipur,5
Bihar,Saran,5
Bihar,Sheikhpura,5
Bihar,Sitamarhi,5
Bihar,Siwan,5
Bihar,Vaishali,5
Chandigarh,Chandigarh,5
Chhattisgarh,Balod,5
Chhattisgarh,Balodabazar-Bhatapara,5
Chhattisgarh,Bastar,5
Chhattisgarh,Bemetara,5
Chhattisgarh,Bilaspur,5
Chhattisgarh,Dhamtari,5
Chhattisgarh,Durg,5
Chhattisgarh,Korba,5
Chhattisgarh,Raipur,5
Chhattisgarh,Rajnandgaon,5
Chhattisgarh,Sakti,5
Chhattisgarh,Sarangarh Bilaigarh,5
Chhattisgarh,Surajpur,5
Delhi,North,5
Delhi,North West,5
Delhi,Shahdara,5
Delhi,South,5
Delhi,South East,5
Delhi,South West,5
Delhi,West,5
Gujarat,Ahmedabad,5
Gujarat,Amreli,5
Gujarat,Anand,5
Gujarat,Arvalli,5
Gujarat,Banas Kantha,5
Gujarat,Bharuch,5
Gujarat,Bhavnagar,5
Gujarat,Botad,5
Gujarat,Chhotaudepur,5
Gujarat,Dahod,5
Gujarat,Dangs,5
Gujarat,Devbhumi Dwarka,5
Gujarat,Gandhinagar,5
Gujarat,Gir Somnath,5
Gujarat,Jamnagar,5
Gujarat,Junagadh,5
Gujarat,Kachchh,5
Gujarat,Kheda,5
Gujarat,Mahesana,5
Gujarat,Mahisagar,5
Gujarat,Morbi,5
Gujarat,Narmada,5
Gujarat,Navsari,5
Gujarat,Panch Mahals,5
Gujarat,Patan,5
Gujarat,Porbandar,5
Gujarat,Rajkot,5
Gujarat,Sabar Kantha,5
Gujarat,Surat,5
Gujarat,Surendranagar,5
Gujarat,Tapi,5
Gujarat,Vadodara,5
Gujarat,Valsad,5
Haryana,Ambala,5
Haryana,Bhiwani,5
