STATE,DISTRICT,YEAR_COUNT
A&N Islands,Havelock,2
A&N Islands,Long Island,2
A&N Islands,N&M Andaman,2
A&N Islands,Neil Island,2
A&N Islands,Ross Island,2
A&N Islands,South Andaman,2
Andhra Pradesh,East Godavari,2
Andhra Pradesh,Guntur,2
Andhra Pradesh,Krishna,2
Andhra Pradesh,Kurnool,2
Andhra Pradesh,Nellore,2
Andhra Pradesh,Srikakulam,2
Andhra Pradesh,Visakhapatnam,2
Andhra Pradesh,West Godavari,2
Arunachal Pradesh,Changlang,5
Arunachal Pradesh,East Siang,2
Arunachal Pradesh,Lohit,3
Arunachal Pradesh,Papumpare,2
Arunachal Pradesh,Tirap,5
Assam,Baksa,4
Assam,Barpeta,3
Assam,Biswanath,5
Assam,Bongaigaon,4
Assam,Cachar,2
Assam,Chirang,3
Assam,DHEMAJI,2
Assam,DIBRUGARH,2
Assam,Darrang,5
Assam,Dhemaji,3
Assam,Dhubri,5
Assam,Dibrugarh,5
Assam,Goalpara,4
Assam,Golaghat,4
Assam,Hailakandi,4
Assam,Hojai,3
Assam,Jorhat,4
Assam,Kamrup,4
Assam,Karbi Anglong,4
Assam,Karimganj,3
Assam,Kokrajhar,2
Assam,Lakhimpur,4
Assam,Morigaon,5
Assam,Nagaon,5
Assam,Nalbari,3
Assam,Sibsagar,3
Assam,Sonitpur,4
Assam,TINSUKIA,2
Assam,Tinsukia,5
Assam,Udalguri,4
Assam,W. Karbi Anglong,2
Bihar,Araria,3
Bihar,Arwal,5
Bihar,Aurangabad,4
Bihar,Banka,3
Bihar,Begusarai,4
Bihar,Bhabhua,2
Bihar,Bhagalpur,3
Bihar,Bhojpur,4
Bihar,Buxar,4
Bihar,Darbhanga,3
Bihar,E Champaran,2
Bihar,E. Champaran,2
Bihar,Gaya,5
Bihar,Gopalganj,4
Bihar,Jamui,3
Bihar,Jehanabad,4
Bihar,Katihar,3
Bihar,Khagaria,3
Bihar,Kishanganj,3
Bihar,Lakhisarai,2
Bihar,Madhepura,3
Bihar,Madhubani,3
Bihar,Munger,3
Bihar,Muzaffarpur,4
Bihar,Nalanda,5
Bihar,Nawada,4
Bihar,Patna,5
Bihar,Purnea,2
Bihar,Rohtas,3
Bihar,Saharsa,3
Bihar,Samastipur,4
Bihar,Saran,5
Bihar,Seikhpura,3
Bihar,Sheohar,2
Bihar,Sitamarhi,4
Bihar,Siwan,5
Bihar,Vaishali,4
Chandigarh,Chandigarh,3
Chhattisgarh,Balod,5
Chhattisgarh,Balodabazar,5
Chhattisgarh,Balrampur,4
Chhattisgarh,Bastar,5
Chhattisgarh,Bemetara,5
Chhattisgarh,Bemetra,3
Chhattisgarh,Bilaspur,5
Chhattisgarh,Dhamtari,5
Chhattisgarh,Durg,5
Chhattisgarh,Gariyaband,2
Chhattisgarh,Gariyaband(Fotak para),2
Chhattisgarh,Gariyabandh,5
Chhattisgarh,JANJGIR CHAMPA,2
Chhattisgarh,Jangir-champa,2
Chhattisgarh,Janjgir Champa,2
Chhattisgarh,Janjgir-Champa,3
Chhattisgarh,Jashpur,5
Chhattisgarh,KORBA,3
Chhattisgarh,Kanker,5
Chhattisgarh,Kawardha,4
Chhattisgarh,Kondagaon,5
Chhattisgarh,Korba,5
Chhattisgarh,Koriya,4
